Area,Instructions,Size,Priority,Bandwidth,Delay,Score,Allocated_Worker
3,247,28,0.0,13,100,1.8,3
3,224,28,0.0,21,95,6.84,3
3,218,28,0.0,13,85,16.2,3
1,227,29,0.0,23,96,6.0,3
3,201,26,0.0,22,81,20.4,3
1,297,27,0.0,4,98,3.36,3
1,244,21,0.0,24,94,7.92,3
1,242,27,0.0,22,74,27.12,3
2,265,27,0.0,6,97,4.32,3
3,263,21,0.0,4,77,23.52,3
3,218,22,0.0,16,94,7.68,3
3,226,22,0.0,21,97,4.92,3
3,238,21,0.0,19,94,7.8,3
3,243,22,0.0,6,78,22.56,3
3,299,29,0.0,18,100,1.92,3
3,290,26,0.0,11,75,25.68,3
1,214,26,0.0,16,89,12.48,3
3,228,24,0.0,20,72,28.92,3
3,276,29,0.0,14,78,22.92,3
1,201,23,0.0,24,89,12.72,3
2,210,22,0.0,17,97,4.8,3
2,271,26,0.0,4,85,15.84,3
2,256,21,0.0,22,82,19.44,3
1,282,25,0.0,3,76,24.36,3
1,242,27,0.0,12,88,13.2,3
3,281,25,0.0,21,99,3.0,3
3,300,28,0.0,18,72,28.8,3
2,270,28,0.0,14,90,11.4,3
1,261,24,0.0,14,77,23.88,3
2,219,21,0.0,8,77,23.64,3
2,213,29,0.0,10,89,12.24,3
1,281,24,0.0,16,71,29.76,3
2,256,30,0.0,22,78,23.28,3
1,209,21,0.0,4,76,24.48,3
3,235,24,0.0,18,93,8.64,3
3,285,26,0.0,8,89,12.12,3
2,202,23,0.0,9,90,11.16,3
1,221,26,0.0,23,89,12.72,3
3,217,30,0.0,22,95,6.96,3
2,211,30,0.0,9,80,20.76,3
2,240,30,0.0,3,98,3.24,3
2,251,29,0.0,8,95,6.36,3
3,296,30,0.0,15,74,26.76,3
3,281,30,0.0,15,88,13.32,3
2,285,24,0.0,22,78,23.28,3
2,223,24,0.0,1,88,12.84,3
3,217,30,0.0,7,94,7.32,3
2,297,28,0.0,23,89,12.72,3
1,253,25,0.0,23,82,19.44,3
1,283,28,0.0,16,94,7.68,3
2,289,23,0.0,20,93,8.76,3
2,257,26,0.0,1,100,1.0,3
2,278,24,0.0,11,87,14.16,3
1,225,21,0.0,19,84,17.4,3
1,237,29,0.0,2,85,15.72,3
1,256,28,0.0,6,74,26.4,3
3,267,25,0.0,12,79,21.84,3
3,281,25,0.0,11,97,4.56,3
2,230,28,0.0,22,77,24.24,3
3,229,29,0.0,15,79,21.96,3
2,225,28,0.0,23,99,3.12,3
1,245,23,0.0,15,93,8.52,3
1,241,25,0.0,3,82,18.6,3
3,297,21,0.0,13,80,21.0,3
1,296,22,0.0,6,90,11.04,3
2,278,26,0.0,7,97,4.44,3
1,286,27,0.0,9,82,18.84,3
3,207,25,0.0,17,81,20.16,3
1,224,23,0.0,15,77,23.88,3
3,234,23,0.0,11,81,19.92,3
1,296,26,0.0,9,99,2.52,3
2,281,23,0.0,21,88,13.56,3
1,224,29,0.0,23,94,7.92,3
2,289,26,0.0,9,71,29.4,3
2,237,30,0.0,6,91,10.08,3
1,228,28,0.0,21,88,13.56,3
2,211,22,0.0,13,74,26.76,3
2,205,28,0.0,13,90,11.4,3
3,223,28,0.0,1,75,25.32,3
2,218,25,0.0,17,94,7.68,3
2,229,27,0.0,3,71,29.16,3
3,287,21,0.0,5,82,18.72,3
2,215,22,0.0,11,85,16.08,3
2,248,27,0.0,5,72,28.32,3
3,253,22,0.0,20,80,21.24,3
2,203,21,0.0,2,81,19.56,3
3,252,27,0.0,18,77,24.0,3
2,256,22,0.0,11,91,10.32,3
2,234,29,0.0,4,93,8.16,3
1,214,24,0.0,24,94,7.92,3
2,207,29,0.0,18,78,23.04,3
1,214,29,0.0,1,93,8.04,3
3,201,27,0.0,13,100,1.8,3
2,236,22,0.0,4,84,16.8,3
1,273,26,0.0,8,75,25.56,3
1,230,22,0.0,17,91,10.56,3
1,204,28,0.0,2,77,23.4,3
1,289,23,0.0,8,89,12.12,3
3,259,24,0.0,6,82,18.72,3
1,205,24,0.0,14,85,16.2,3
2,257,23,0.0,6,90,11.04,3
1,226,23,0.0,7,79,21.72,3
2,226,30,0.0,5,71,29.28,3
1,280,23,0.0,11,72,28.56,3
1,236,23,0.0,9,78,22.68,3
2,288,23,0.0,2,93,8.04,3
2,248,24,0.0,7,79,21.72,3
1,288,26,0.0,13,71,29.64,3
2,239,24,0.0,24,84,17.52,3
2,292,25,0.0,16,77,24.0,3
1,216,23,0.0,19,76,25.08,3
2,285,30,0.0,5,97,4.32,3
1,250,30,0.0,7,85,15.96,3
3,218,30,0.0,22,80,21.36,3
3,258,22,0.0,13,81,20.04,3
3,205,24,0.0,17,86,15.36,3
2,251,29,0.0,13,72,28.68,3
1,300,23,0.0,24,75,26.16,3
1,248,27,0.0,24,94,7.92,3
3,264,21,0.0,13,97,4.68,3
2,215,30,0.0,21,89,12.6,3
3,213,27,0.0,13,91,10.44,3
1,285,25,0.0,17,83,18.24,3
2,217,23,0.0,15,83,18.12,3
1,238,26,0.0,9,77,23.64,3
2,212,29,0.0,18,77,24.0,3
1,238,29,0.0,4,72,28.32,3
3,266,28,0.0,3,81,19.56,3
1,245,28,0.0,17,77,24.0,3
1,217,24,0.0,2,93,8.04,3
1,277,27,0.0,14,95,6.6,3
2,203,24,0.0,23,90,11.76,3
1,217,29,0.0,12,99,2.64,3
1,263,26,0.0,11,72,28.56,3
1,294,23,0.0,22,74,27.12,3
1,254,30,0.0,5,76,24.48,3
1,201,25,0.0,21,81,20.28,3
2,276,25,0.0,15,83,18.12,3
2,284,21,0.0,15,99,2.76,3
3,292,21,0.0,4,79,21.6,3
3,217,21,0.0,2,85,15.72,3
1,275,27,0.0,7,94,7.32,3
3,270,30,0.0,5,72,28.32,3
2,270,28,0.0,11,85,16.08,3
2,295,26,0.0,3,72,28.2,3
2,232,29,0.0,9,100,1.56,3
3,214,30,0.0,14,95,6.6,3
3,208,23,0.0,10,84,17.04,3
2,284,28,0.0,12,76,24.72,3
1,210,26,0.0,10,98,3.6,3
1,272,25,0.0,12,97,4.56,3
2,236,26,0.0,22,97,5.04,3
3,203,29,0.0,22,89,12.72,3
3,254,22,0.0,22,88,13.68,3
1,239,28,0.0,5,80,20.64,3
1,236,29,0.0,16,73,27.84,3
1,217,30,0.0,5,83,17.76,3
2,223,25,0.0,21,92,9.72,3
1,239,30,0.0,21,94,7.8,3
2,300,25,0.0,23,99,3.12,3
2,220,24,0.0,21,93,8.76,3
3,267,24,0.0,10,98,3.6,3
2,261,21,0.0,3,83,17.64,3
1,288,28,0.0,1,73,27.24,3
3,290,26,0.0,9,77,23.64,3
1,267,26,0.0,17,89,12.48,3
3,280,22,0.0,22,95,6.96,3
2,280,30,0.0,18,86,15.36,3
3,211,23,0.0,8,98,3.48,3
1,292,24,0.0,8,79,21.72,3
1,285,21,0.0,5,97,4.32,3
1,253,29,0.0,14,75,25.8,3
2,265,22,0.0,12,75,25.68,3
2,263,23,0.0,18,86,15.36,3
3,231,28,0.0,8,93,8.28,3
1,234,29,0.0,1,72,28.2,3
3,283,29,0.0,24,98,4.08,3
1,282,21,0.0,7,71,29.4,3
2,210,27,0.0,19,79,22.2,3
2,300,28,0.0,17,87,14.4,3
3,204,22,0.0,19,81,20.28,3
1,247,29,0.0,10,72,28.56,3
3,207,23,0.0,9,72,28.44,3
1,262,25,0.0,1,82,18.6,3
1,277,21,0.0,21,94,7.8,3
1,201,30,0.0,20,90,11.64,3
2,259,26,0.0,13,77,23.88,3
2,253,27,0.0,1,76,24.36,3
2,300,29,0.0,4,76,24.48,3
1,285,26,0.0,1,88,12.84,3
1,235,29,0.0,17,93,8.64,3
2,256,26,0.0,22,80,21.36,3
1,276,25,0.0,23,79,22.32,3
2,267,25,0.0,16,90,11.52,3
1,252,24,0.0,19,89,12.6,3
2,259,23,0.0,11,99,2.64,3
3,213,23,0.0,22,92,9.84,3
2,223,30,0.0,16,92,9.6,3
2,291,22,0.0,1,86,14.76,3
1,270,21,0.0,3,93,8.04,3
1,216,30,0.0,18,92,9.6,3
3,229,22,0.0,20,95,6.84,3
1,246,28,0.0,10,97,4.56,3
3,237,23,0.0,15,78,22.92,3
3,241,29,0.0,21,82,19.32,3
3,300,24,0.0,20,84,17.4,3
1,201,22,0.0,14,75,25.8,3
1,289,29,0.0,17,85,16.32,3
2,294,21,0.0,15,97,4.68,3
1,248,29,0.0,13,100,1.8,3
3,240,26,0.0,5,86,14.88,3
1,284,30,0.0,20,95,6.84,3
1,236,22,0.0,6,81,19.68,3
3,270,26,0.0,9,86,15.0,3
3,207,21,0.0,24,78,23.28,3
2,237,28,0.0,16,95,6.72,3
2,286,25,0.0,11,71,29.52,3
2,244,24,0.0,5,87,13.92,3
3,285,22,0.0,12,97,4.56,3
1,284,21,0.0,16,91,10.56,3
3,208,30,0.0,12,75,25.68,3
1,250,26,0.0,10,88,13.2,3
2,291,28,0.0,1,73,27.24,3
2,288,27,0.0,18,94,7.68,3
3,258,27,0.0,12,83,18.0,3
2,277,24,0.0,11,71,29.52,3
2,266,28,0.0,13,100,1.8,3
3,251,26,0.0,23,98,4.08,3
3,208,25,0.0,4,77,23.52,3
3,256,21,0.0,7,90,11.16,3
1,273,25,0.0,23,76,25.2,3
1,286,30,0.0,8,85,15.96,3
1,232,21,0.0,23,98,4.08,3
2,280,28,0.0,10,89,12.24,3
2,225,21,0.0,3,98,3.24,3
3,278,29,0.0,2,88,12.84,3
2,299,25,0.0,2,77,23.4,3
1,297,27,0.0,23,93,8.88,3
1,264,22,0.0,8,90,11.16,3
1,253,21,0.0,15,87,14.28,3
1,292,22,0.0,24,72,29.04,3
3,224,27,0.0,1,77,23.4,3
2,285,22,0.0,24,79,22.32,3
1,281,25,0.0,8,97,4.44,3
2,219,24,0.0,6,82,18.72,3
3,204,27,0.0,13,92,9.48,3
3,283,28,0.0,22,81,20.4,3
2,256,29,0.0,19,97,4.92,3
3,276,25,0.0,23,73,28.08,3
3,281,27,0.0,21,72,28.92,3
1,296,22,0.0,4,84,16.8,3
3,297,27,0.0,14,77,23.88,3
1,293,23,0.0,14,74,26.76,3
2,255,28,0.0,16,99,2.88,3
1,245,27,0.0,12,96,5.52,3
1,219,28,0.0,12,86,15.12,3
3,230,22,0.0,13,82,19.08,3
3,232,21,0.0,2,81,19.56,3
1,251,24,0.0,2,75,25.32,3
3,244,24,0.0,24,100,2.16,3
2,274,25,0.0,5,83,17.76,3
3,254,24,0.0,23,82,19.44,3
1,250,30,0.0,1,83,17.64,3
2,236,30,0.0,23,90,11.76,3
3,255,28,0.0,11,89,12.24,3
1,259,25,0.0,9,78,22.68,3
3,260,25,0.0,6,80,20.64,3
1,269,27,0.0,1,98,3.24,3
2,277,30,0.0,11,100,1.68,3
2,226,22,0.0,12,91,10.32,3
3,296,26,0.0,16,74,26.88,3
3,205,27,0.0,13,81,20.04,3
1,263,28,0.0,15,78,22.92,3
2,248,29,0.0,9,99,2.52,3
1,276,26,0.0,15,79,21.96,3
2,270,26,0.0,9,76,24.6,3
1,289,24,0.0,15,86,15.24,3
3,233,28,0.0,5,89,12.0,3
1,249,23,0.0,23,85,16.56,3
2,259,27,0.0,12,81,19.92,3
2,220,25,0.0,13,89,12.36,3
3,227,25,0.0,23,84,17.52,3
2,234,27,0.0,4,71,29.28,3
1,280,26,0.0,13,98,3.72,3
1,250,28,0.0,17,78,23.04,3
1,218,27,0.0,1,88,12.84,3
1,291,28,0.0,9,90,11.16,3
1,220,24,0.0,14,92,9.48,3
3,216,24,0.0,16,88,13.44,3
3,263,21,0.0,16,92,9.6,3
1,238,29,0.0,21,99,3.0,3
3,208,22,0.0,18,94,7.68,3
3,257,27,0.0,19,77,24.12,3
3,289,27,0.0,16,95,6.72,3
1,226,24,0.0,17,82,19.2,3
1,230,29,0.0,20,93,8.76,3
3,266,28,0.0,9,91,10.2,3
3,252,29,0.0,1,91,9.96,3
2,217,27,0.0,19,93,8.76,3
3,295,29,0.0,16,83,18.24,3
1,286,24,0.0,8,85,15.96,3
3,208,29,0.0,7,94,7.32,3
3,297,27,0.0,17,85,16.32,3
1,270,21,0.0,9,99,2.52,3
3,271,26,0.0,20,98,3.96,3
2,243,22,0.0,11,94,7.44,3
1,284,26,0.0,12,72,28.56,3
1,223,27,0.0,3,93,8.04,3
1,219,26,0.0,3,76,24.36,3
2,300,28,0.0,8,94,7.32,3
2,232,23,0.0,16,80,21.12,3
2,298,24,0.0,19,94,7.8,3
3,256,21,0.0,17,73,27.84,3
1,215,29,0.0,18,94,7.68,3
3,287,28,0.0,10,87,14.16,3
2,215,22,0.0,9,85,15.96,3
1,235,26,0.0,18,97,4.8,3
3,229,27,0.0,3,95,6.12,3
1,210,28,0.0,10,97,4.56,3
3,226,23,0.0,16,73,27.84,3
3,253,25,0.0,7,76,24.6,3
3,273,26,0.0,5,79,21.6,3
3,249,29,0.0,8,99,2.52,3
1,278,26,0.0,24,76,25.2,3
1,258,30,0.0,9,98,3.48,3
1,260,27,0.0,12,81,19.92,3
2,229,25,0.0,14,72,28.68,3
2,219,21,0.0,23,82,19.44,3
3,249,26,0.0,16,75,25.92,3
2,255,21,0.0,18,92,9.6,3
2,238,25,0.0,23,71,30.0,3
2,247,25,0.0,11,78,22.8,3
2,211,29,0.0,20,84,17.4,3
3,262,28,0.0,23,90,11.76,3
2,229,29,0.0,8,71,29.4,3
1,211,27,0.0,11,72,28.56,3
3,276,29,0.0,5,72,28.32,3
1,244,26,0.0,3,72,28.2,3
3,299,22,0.0,5,75,25.44,3
1,290,21,0.0,4,91,10.08,3
3,213,21,0.0,12,100,1.68,3
1,234,30,0.0,23,80,21.36,3
3,266,21,0.0,9,91,10.2,3
3,228,22,0.0,10,77,23.76,3
2,225,27,0.0,5,85,15.84,3
2,213,29,0.0,2,71,29.16,3
2,203,21,0.0,5,74,26.4,3
1,210,27,0.0,15,77,23.88,3
2,229,27,0.0,21,92,9.72,3
2,232,22,0.0,21,74,27.0,3
3,253,27,0.0,21,78,23.16,3
1,263,26,0.0,18,73,27.84,3
1,295,25,0.0,4,83,17.76,3
3,268,30,0.0,21,91,10.68,3
3,267,23,0.0,7,93,8.28,3
3,208,21,0.0,17,82,19.2,3
2,275,21,0.0,23,93,8.88,3
1,202,30,0.0,18,100,1.92,3
3,212,25,0.0,16,89,12.48,3
2,214,21,0.0,16,96,5.76,3
1,292,21,0.0,15,92,9.48,3
2,281,26,0.0,14,74,26.76,3
3,278,28,0.0,10,82,18.96,3
2,203,21,0.0,20,74,27.0,3
3,292,24,0.0,15,81,20.04,3
1,201,30,0.0,22,72,29.04,3
2,259,29,0.0,18,85,16.32,3
2,206,23,0.0,19,99,3.0,3
3,287,27,0.0,13,73,27.72,3
3,230,22,0.0,23,85,16.56,3
1,241,22,0.0,21,87,14.52,3
1,254,30,0.0,9,90,11.16,3
3,256,26,0.0,9,73,27.48,3
1,251,25,0.0,13,71,29.64,3
1,261,21,0.0,22,96,6.0,3
2,295,22,0.0,19,88,13.56,3
3,300,25,0.0,8,79,21.72,3
1,286,21,0.0,20,86,15.48,3
3,254,22,0.0,16,95,6.72,3
2,255,24,0.0,7,85,15.96,3
3,212,29,0.0,5,92,9.12,3
1,208,21,0.0,22,98,4.08,3
3,274,21,0.0,14,87,14.28,3
1,279,24,0.0,16,95,6.72,3
1,227,24,0.0,12,78,22.8,3
2,277,27,0.0,10,86,15.12,3
1,246,23,0.0,22,97,5.04,3
2,277,30,0.0,6,73,27.36,3
3,299,23,0.0,10,82,18.96,3
1,237,21,0.0,1,74,26.28,3
3,233,25,0.0,10,85,16.08,3
2,269,21,0.0,12,91,10.32,3
2,239,24,0.0,3,95,6.12,3
1,283,24,0.0,8,77,23.64,3
3,258,30,0.0,16,85,16.32,3
1,292,29,0.0,8,80,20.76,3
3,246,21,0.0,16,90,11.52,3
1,295,28,0.0,14,89,12.36,3
2,272,29,0.0,1,72,28.2,3
3,252,21,0.0,11,100,1.68,3
3,298,22,0.0,17,73,27.84,3
2,231,22,0.0,8,98,3.48,3
3,222,29,0.0,2,91,9.96,3
1,212,25,0.0,14,81,20.04,3
2,289,24,0.0,6,96,5.28,3
2,237,28,0.0,16,99,2.88,3
2,225,26,0.0,20,85,16.44,3
3,257,30,0.0,9,84,16.92,3
1,298,26,0.0,8,74,26.52,3
3,281,25,0.0,10,90,11.28,3
2,205,26,0.0,10,91,10.32,3
1,278,23,0.0,12,86,15.12,3
2,271,29,0.0,14,86,15.24,3
1,205,30,0.0,14,89,12.36,3
1,238,24,0.0,6,92,9.12,3
3,205,23,0.0,18,90,11.52,3
1,235,26,0.0,12,78,22.8,3
1,205,22,0.0,16,99,2.88,3
1,291,21,0.0,17,91,10.56,3
2,239,28,0.0,22,73,28.08,3
3,221,22,0.0,7,73,27.48,3
2,249,30,0.0,14,83,18.12,3
2,225,24,0.0,23,82,19.44,3
2,267,25,0.0,4,96,5.28,3
3,230,22,0.0,7,78,22.68,3
3,254,24,0.0,14,84,17.16,3
1,240,28,0.0,24,97,5.04,3
3,294,24,0.0,24,92,9.84,3
1,202,26,0.0,2,83,17.64,3
3,217,27,0.0,22,80,21.36,3
3,224,28,0.0,8,80,20.76,3
1,216,30,0.0,23,78,23.28,3
1,260,25,0.0,10,89,12.24,3
1,243,23,0.0,5,92,9.12,3
3,226,25,0.0,7,81,19.8,3
1,237,21,0.0,5,76,24.48,3
1,246,21,0.0,3,97,4.2,3
3,275,30,0.0,20,74,27.0,3
1,203,30,0.0,9,97,4.44,3
2,244,25,0.0,1,87,13.8,3
1,275,29,0.0,6,95,6.24,3
1,283,22,0.0,22,83,18.48,3
2,244,29,0.0,1,83,17.64,3
3,290,25,0.0,23,100,2.16,3
3,247,28,0.0,1,81,19.56,3
2,297,21,0.0,23,78,23.28,3
3,245,30,0.0,23,98,4.08,3
2,213,22,0.0,16,82,19.2,3
2,242,21,0.0,19,86,15.48,3
2,229,29,0.0,12,71,29.52,3
1,281,29,0.0,12,73,27.6,3
3,250,30,0.0,1,71,29.16,3
2,277,21,0.0,20,97,4.92,3
2,282,21,0.0,4,100,1.44,3
3,294,28,0.0,9,88,13.08,3
2,253,29,0.0,10,78,22.8,3
1,230,22,0.0,6,94,7.2,3
3,300,21,0.0,13,74,26.76,3
1,292,22,0.0,5,88,12.96,3
3,241,22,0.0,18,89,12.48,3
2,243,25,0.0,2,75,25.32,3
3,267,21,0.0,22,73,28.08,3
1,236,29,0.0,17,96,5.76,3
3,230,21,0.0,13,75,25.8,3
2,249,23,0.0,20,71,29.88,3
3,282,25,0.0,12,88,13.2,3
3,230,21,0.0,14,85,16.2,3
2,240,25,0.0,13,92,9.48,3
2,261,29,0.0,20,83,18.36,3
1,212,24,0.0,11,95,6.48,3
1,213,28,0.0,21,86,15.48,3
3,227,29,0.0,8,84,16.92,3
3,245,27,0.0,3,82,18.6,3
2,223,21,0.0,3,85,15.72,3
2,237,27,0.0,2,73,27.24,3
1,246,26,0.0,16,95,6.72,3
1,279,24,0.0,13,96,5.64,3
1,204,30,0.0,9,95,6.36,3
1,237,29,0.0,7,85,15.96,3
3,224,29,0.0,10,95,6.48,3
2,230,22,0.0,6,78,22.56,3
2,278,29,0.0,5,91,10.08,3
1,232,26,0.0,3,93,8.04,3
3,219,23,0.0,14,100,1.8,3
1,281,27,0.0,24,91,10.8,3
1,248,28,0.0,3,78,22.44,3
2,229,26,0.0,1,75,25.32,3
3,263,22,0.0,18,86,15.36,3
1,280,28,0.0,7,83,17.88,3
2,229,28,0.0,19,95,6.84,3
3,206,28,0.0,7,82,18.84,3
2,292,26,0.0,23,85,16.56,3
1,224,24,0.0,14,81,20.04,3
1,289,21,0.0,24,99,3.12,3
1,230,30,0.0,2,72,28.2,3
3,265,25,0.0,20,84,17.4,3
3,277,24,0.0,17,85,16.32,3
1,202,23,0.0,17,87,14.4,3
3,298,21,0.0,9,86,15.0,3
2,293,27,0.0,19,89,12.6,3
2,216,28,0.0,9,99,2.52,3
2,214,26,0.0,2,95,6.12,3
1,220,24,0.0,12,80,20.88,3
1,208,24,0.0,17,98,3.84,3
1,296,21,0.0,7,74,26.52,3
3,299,27,0.0,23,87,14.64,3
2,263,21,0.0,20,72,28.92,3
2,216,23,0.0,2,95,6.12,3
3,283,25,0.0,7,94,7.32,3
2,251,26,0.0,5,87,13.92,3
3,264,25,0.0,4,84,16.8,3
3,239,30,0.0,8,93,8.28,3
1,241,27,0.0,14,86,15.24,3
2,205,29,0.0,6,74,26.4,3
3,229,26,0.0,8,78,22.68,3
1,275,22,0.0,3,100,1.32,3
3,247,24,0.0,11,74,26.64,3
3,300,28,0.0,3,99,2.28,3
3,216,21,0.0,12,81,19.92,3
1,286,25,0.0,20,100,2.04,3
3,257,25,0.0,5,75,25.44,3
2,250,25,0.0,3,90,10.92,3
1,285,24,0.0,7,84,16.92,3
2,208,28,0.0,19,79,22.2,3
3,205,23,0.0,17,75,25.92,3
2,271,27,0.0,10,85,16.08,3
3,281,21,0.0,9,88,13.08,3
2,227,29,0.0,15,92,9.48,3
3,274,25,0.0,7,71,29.4,3
1,268,21,0.0,4,72,28.32,3
2,276,26,0.0,15,81,20.04,3
1,285,30,0.0,19,87,14.52,3
3,233,22,0.0,3,96,5.16,3
1,211,28,0.0,4,88,12.96,3
3,285,25,0.0,14,92,9.48,3
2,293,25,0.0,17,96,5.76,3
3,201,29,0.0,16,83,18.24,3
3,252,30,0.0,22,86,15.6,3
2,265,23,0.0,15,93,8.52,3
2,220,23,0.0,11,90,11.28,3
1,210,21,0.0,2,100,1.32,3
3,264,22,0.0,22,82,19.44,3
3,224,25,0.0,8,97,4.44,3
2,218,27,0.0,21,100,2.04,3
1,204,22,0.0,14,78,22.92,3
3,227,29,0.0,16,82,19.2,3
2,249,28,0.0,1,96,5.16,3
2,251,26,0.0,6,84,16.8,3
1,259,26,0.0,8,90,11.16,3
1,296,25,0.0,22,97,5.04,3
2,244,21,0.0,24,78,23.28,3
1,244,27,0.0,7,75,25.56,3
2,254,27,0.0,6,95,6.24,3
2,286,22,0.0,11,93,8.4,3
3,296,22,0.0,13,83,18.12,3
3,270,30,0.0,3,97,4.2,3
2,242,30,0.0,17,100,1.92,3
1,215,29,0.0,15,94,7.56,3
1,277,23,0.0,22,73,28.08,3
1,263,24,0.0,1,87,13.8,3
1,243,23,0.0,17,81,20.16,3
3,236,29,0.0,16,91,10.56,3
1,268,30,0.0,14,77,23.88,3
1,243,24,0.0,10,91,10.32,3
1,227,23,0.0,22,94,7.92,3
1,259,21,0.0,1,84,16.68,3
2,231,30,0.0,4,85,15.84,3
3,252,29,0.0,24,79,22.32,3
3,265,25,0.0,19,73,27.96,3
3,241,28,0.0,20,97,4.92,3
2,247,30,0.0,12,73,27.6,3
1,248,26,0.0,4,92,9.12,3
2,215,24,0.0,9,94,7.32,3
2,241,26,0.0,10,79,21.84,3
2,241,30,0.0,9,83,17.88,3
1,287,23,0.0,22,80,21.36,3
2,241,22,0.0,20,86,15.48,3
3,217,24,0.0,5,93,8.16,3
2,202,26,0.0,10,84,17.04,3
2,278,30,0.0,3,82,18.6,3
1,245,28,0.0,15,78,22.92,3
2,206,25,0.0,6,82,18.72,3
1,291,30,0.0,1,99,2.28,3
1,207,28,0.0,6,93,8.16,3
2,282,28,0.0,9,79,21.72,3
3,226,24,0.0,24,84,17.52,3
1,283,30,0.0,1,94,7.08,3
3,282,26,0.0,15,85,16.2,3
3,290,27,0.0,18,87,14.4,3
2,271,23,0.0,3,73,27.24,3
2,225,24,0.0,18,87,14.4,3
1,204,27,0.0,18,78,23.04,3
3,282,25,0.0,15,76,24.84,3
1,233,28,0.0,4,86,14.88,3
3,250,27,0.0,17,100,1.92,3
2,244,21,0.0,5,90,11.04,3
