Bandwidth,Delay,Score,Additional Value
59,3,3.02,97.2
58,3,3.02,97.16
57,3,3.02,97.16
56,3,3.02,97.12
55,3,3.02,97.12
54,3,3.02,97.08
53,3,3.02,97.08
52,3,3.02,97.04
51,3,3.02,97.04
100,4,4.01,97.0
99,4,4.01,97.0
98,4,4.01,96.96
97,4,4.01,96.96
96,4,4.01,96.92
95,4,4.01,96.92
94,4,4.01,96.88
93,4,4.01,96.88
92,4,4.01,96.84
91,4,4.01,96.84
90,4,4.01,96.8
89,4,4.01,96.8
88,4,4.01,96.76
87,4,4.01,96.76
86,4,4.01,96.72
85,4,4.01,96.72
84,4,4.01,96.68
83,4,4.01,96.68
82,4,4.01,96.64
81,4,4.01,96.64
80,4,4.01,96.6
79,4,4.01,96.6
78,4,4.01,96.56
77,4,4.01,96.56
76,4,4.01,96.52
75,4,4.01,96.52
74,4,4.01,96.48
73,4,4.01,96.48
72,4,4.01,96.44
71,4,4.01,96.44
70,4,4.01,96.4
69,4,4.01,96.4
68,4,4.01,96.36
67,4,4.01,96.36
66,4,4.02,96.32
65,4,4.02,96.32
64,4,4.02,96.28
63,4,4.02,96.28
62,4,4.02,96.24
61,4,4.02,96.24
60,4,4.02,96.2
59,4,4.02,96.2
58,4,4.02,96.16
57,4,4.02,96.16
56,4,4.02,96.12
55,4,4.02,96.12
54,4,4.02,96.08
53,4,4.02,96.08
52,4,4.02,96.04
51,4,4.02,96.04
100,5,5.01,96.0
99,5,5.01,96.0
98,5,5.01,95.96
97,5,5.01,95.96
96,5,5.01,95.92
95,5,5.01,95.92
94,5,5.01,95.88
93,5,5.01,95.88
92,5,5.01,95.84
91,5,5.01,95.84
90,5,5.01,95.8
89,5,5.01,95.8
88,5,5.01,95.76
87,5,5.01,95.76
86,5,5.01,95.72
85,5,5.01,95.72
84,5,5.01,95.68
83,5,5.01,95.68
82,5,5.01,95.64
81,5,5.01,95.64
80,5,5.01,95.6
79,5,5.01,95.6
78,5,5.01,95.56
77,5,5.01,95.56
76,5,5.01,95.52
75,5,5.01,95.52
74,5,5.01,95.48
73,5,5.01,95.48
72,5,5.01,95.44
71,5,5.01,95.44
70,5,5.01,95.4
69,5,5.01,95.4
68,5,5.01,95.36
67,5,5.01,95.36
66,5,5.02,95.32
65,5,5.02,95.32
64,5,5.02,95.28
63,5,5.02,95.28
62,5,5.02,95.24
61,5,5.02,95.24
60,5,5.02,95.2
59,5,5.02,95.2
58,5,5.02,95.16
57,5,5.02,95.16
56,5,5.02,95.12
55,5,5.02,95.12
54,5,5.02,95.08
53,5,5.02,95.08
52,5,5.02,95.04
51,5,5.02,95.04
100,6,6.01,95.0
99,6,6.01,95.0
98,6,6.01,94.96
97,6,6.01,94.96
96,6,6.01,94.92
95,6,6.01,94.92
94,6,6.01,94.88
93,6,6.01,94.88
92,6,6.01,94.84
91,6,6.01,94.84
90,6,6.01,94.8
89,6,6.01,94.8
88,6,6.01,94.76
87,6,6.01,94.76
86,6,6.01,94.72
85,6,6.01,94.72
84,6,6.01,94.68
83,6,6.01,94.68
82,6,6.01,94.64
81,6,6.01,94.64
80,6,6.01,94.6
79,6,6.01,94.6
78,6,6.01,94.56
77,6,6.01,94.56
76,6,6.01,94.52
75,6,6.01,94.52
74,6,6.01,94.48
73,6,6.01,94.48
72,6,6.01,94.44
71,6,6.01,94.44
70,6,6.01,94.4
69,6,6.01,94.4
68,6,6.01,94.36
67,6,6.01,94.36
66,6,6.02,94.32
65,6,6.02,94.32
64,6,6.02,94.28
63,6,6.02,94.28
62,6,6.02,94.24
61,6,6.02,94.24
60,6,6.02,94.2
59,6,6.02,94.2
58,6,6.02,94.16
57,6,6.02,94.16
56,6,6.02,94.12
55,6,6.02,94.12
54,6,6.02,94.08
53,6,6.02,94.08
52,6,6.02,94.04
51,6,6.02,94.04
100,7,7.01,94.0
99,7,7.01,94.0
98,7,7.01,93.96
97,7,7.01,93.96
96,7,7.01,93.92
95,7,7.01,93.92
94,7,7.01,93.88
93,7,7.01,93.88
92,7,7.01,93.84
91,7,7.01,93.84
90,7,7.01,93.8
89,7,7.01,93.8
88,7,7.01,93.76
87,7,7.01,93.76
86,7,7.01,93.72
85,7,7.01,93.72
84,7,7.01,93.68
83,7,7.01,93.68
82,7,7.01,93.64
81,7,7.01,93.64
80,7,7.01,93.6
79,7,7.01,93.6
78,7,7.01,93.56
77,7,7.01,93.56
76,7,7.01,93.52
75,7,7.01,93.52
74,7,7.01,93.48
73,7,7.01,93.48
72,7,7.01,93.44
71,7,7.01,93.44
70,7,7.01,93.4
69,7,7.01,93.4
68,7,7.01,93.36
67,7,7.01,93.36
66,7,7.02,93.32
65,7,7.02,93.32
64,7,7.02,93.28
63,7,7.02,93.28
62,7,7.02,93.24
61,7,7.02,93.24
60,7,7.02,93.2
59,7,7.02,93.2
58,7,7.02,93.16
57,7,7.02,93.16
56,7,7.02,93.12
55,7,7.02,93.12
54,7,7.02,93.08
53,7,7.02,93.08
52,7,7.02,93.04
51,7,7.02,93.04
100,8,8.01,93.0
99,8,8.01,93.0
98,8,8.01,92.96
97,8,8.01,92.96
96,8,8.01,92.92
95,8,8.01,92.92
94,8,8.01,92.88
93,8,8.01,92.88
92,8,8.01,92.84
91,8,8.01,92.84
90,8,8.01,92.8
89,8,8.01,92.8
88,8,8.01,92.76
87,8,8.01,92.76
86,8,8.01,92.72
85,8,8.01,92.72
84,8,8.01,92.68
83,8,8.01,92.68
82,8,8.01,92.64
81,8,8.01,92.64
80,8,8.01,92.6
79,8,8.01,92.6
78,8,8.01,92.56
77,8,8.01,92.56
76,8,8.01,92.52
75,8,8.01,92.52
74,8,8.01,92.48
73,8,8.01,92.48
72,8,8.01,92.44
71,8,8.01,92.44
70,8,8.01,92.4
69,8,8.01,92.4
68,8,8.01,92.36
67,8,8.01,92.36
66,8,8.02,92.32
65,8,8.02,92.32
64,8,8.02,92.28
63,8,8.02,92.28
62,8,8.02,92.24
61,8,8.02,92.24
60,8,8.02,92.2
59,8,8.02,92.2
58,8,8.02,92.16
57,8,8.02,92.16
56,8,8.02,92.12
55,8,8.02,92.12
54,8,8.02,92.08
53,8,8.02,92.08
52,8,8.02,92.04
51,8,8.02,92.04
100,9,9.01,92.0
99,9,9.01,92.0
98,9,9.01,91.96
97,9,9.01,91.96
96,9,9.01,91.92
95,9,9.01,91.92
94,9,9.01,91.88
93,9,9.01,91.88
92,9,9.01,91.84
91,9,9.01,91.84
90,9,9.01,91.8
89,9,9.01,91.8
88,9,9.01,91.76
87,9,9.01,91.76
86,9,9.01,91.72
85,9,9.01,91.72
84,9,9.01,91.68
83,9,9.01,91.68
82,9,9.01,91.64
81,9,9.01,91.64
80,9,9.01,91.6
79,9,9.01,91.6
78,9,9.01,91.56
77,9,9.01,91.56
76,9,9.01,91.52
75,9,9.01,91.52
74,9,9.01,91.48
73,9,9.01,91.48
72,9,9.01,91.44
71,9,9.01,91.44
70,9,9.01,91.4
69,9,9.01,91.4
68,9,9.01,91.36
67,9,9.01,91.36
66,9,9.02,91.32
65,9,9.02,91.32
64,9,9.02,91.28
63,9,9.02,91.28
62,9,9.02,91.24
61,9,9.02,91.24
60,9,9.02,91.2
59,9,9.02,91.2
58,9,9.02,91.16
57,9,9.02,91.16
56,9,9.02,91.12
55,9,9.02,91.12
54,9,9.02,91.08
53,9,9.02,91.08
52,9,9.02,91.04
51,9,9.02,91.04
100,10,10.01,91.0
99,10,10.01,91.0
98,10,10.01,90.96
97,10,10.01,90.96
96,10,10.01,90.92
95,10,10.01,90.92
94,10,10.01,90.88
93,10,10.01,90.88
92,10,10.01,90.84
91,10,10.01,90.84
90,10,10.01,90.8
89,10,10.01,90.8
88,10,10.01,90.76
87,10,10.01,90.76
86,10,10.01,90.72
85,10,10.01,90.72
84,10,10.01,90.68
83,10,10.01,90.68
82,10,10.01,90.64
81,10,10.01,90.64
80,10,10.01,90.6
79,10,10.01,90.6
78,10,10.01,90.56
77,10,10.01,90.56
76,10,10.01,90.52
75,10,10.01,90.52
74,10,10.01,90.48
73,10,10.01,90.48
72,10,10.01,90.44
71,10,10.01,90.44
70,10,10.01,90.4
69,10,10.01,90.4
68,10,10.01,90.36
67,10,10.01,90.36
66,10,10.02,90.32
65,10,10.02,90.32
64,10,10.02,90.28
63,10,10.02,90.28
62,10,10.02,90.24
61,10,10.02,90.24
60,10,10.02,90.2
59,10,10.02,90.2
58,10,10.02,90.16
57,10,10.02,90.16
56,10,10.02,90.12
55,10,10.02,90.12
54,10,10.02,90.08
53,10,10.02,90.08
52,10,10.02,90.04
51,10,10.02,90.04
100,11,11.01,90.0
99,11,11.01,90.0
98,11,11.01,89.96
97,11,11.01,89.96
96,11,11.01,89.92
95,11,11.01,89.92
94,11,11.01,89.88
93,11,11.01,89.88
92,11,11.01,89.84
91,11,11.01,89.84
90,11,11.01,89.8
89,11,11.01,89.8
88,11,11.01,89.76
87,11,11.01,89.76
86,11,11.01,89.72
85,11,11.01,89.72
84,11,11.01,89.68
83,11,11.01,89.68
82,11,11.01,89.64
81,11,11.01,89.64
80,11,11.01,89.6
79,11,11.01,89.6
78,11,11.01,89.56
77,11,11.01,89.56
76,11,11.01,89.52
75,11,11.01,89.52
74,11,11.01,89.48
73,11,11.01,89.48
72,11,11.01,89.44
71,11,11.01,89.44
70,11,11.01,89.4
69,11,11.01,89.4
68,11,11.01,89.36
67,11,11.01,89.36
66,11,11.02,89.32
65,11,11.02,89.32
64,11,11.02,89.28
63,11,11.02,89.28
62,11,11.02,89.24
61,11,11.02,89.24
60,11,11.02,89.2
59,11,11.02,89.2
58,11,11.02,89.16
57,11,11.02,89.16
56,11,11.02,89.12
55,11,11.02,89.12
54,11,11.02,89.08
53,11,11.02,89.08
52,11,11.02,89.04
51,11,11.02,89.04
100,12,12.01,89.0
99,12,12.01,89.0
98,12,12.01,88.96
97,12,12.01,88.96
96,12,12.01,88.92
95,12,12.01,88.92
94,12,12.01,88.88
93,12,12.01,88.88
92,12,12.01,88.84
91,12,12.01,88.84
90,12,12.01,88.8
89,12,12.01,88.8
88,12,12.01,88.76
87,12,12.01,88.76
86,12,12.01,88.72
85,12,12.01,88.72
84,12,12.01,88.68
83,12,12.01,88.68
82,12,12.01,88.64
81,12,12.01,88.64
80,12,12.01,88.6
79,12,12.01,88.6
78,12,12.01,88.56
77,12,12.01,88.56
76,12,12.01,88.52
75,12,12.01,88.52
74,12,12.01,88.48
73,12,12.01,88.48
72,12,12.01,88.44
71,12,12.01,88.44
70,12,12.01,88.4
69,12,12.01,88.4
68,12,12.01,88.36
67,12,12.01,88.36
66,12,12.02,88.32
65,12,12.02,88.32
64,12,12.02,88.28
63,12,12.02,88.28
62,12,12.02,88.24
61,12,12.02,88.24
60,12,12.02,88.2
59,12,12.02,88.2
58,12,12.02,88.16
57,12,12.02,88.16
56,12,12.02,88.12
55,12,12.02,88.12
54,12,12.02,88.08
53,12,12.02,88.08
52,12,12.02,88.04
51,12,12.02,88.04
100,13,13.01,88.0
99,13,13.01,88.0
98,13,13.01,87.96
97,13,13.01,87.96
96,13,13.01,87.92
95,13,13.01,87.92
94,13,13.01,87.88
93,13,13.01,87.88
92,13,13.01,87.84
91,13,13.01,87.84
90,13,13.01,87.8
89,13,13.01,87.8
88,13,13.01,87.76
87,13,13.01,87.76
86,13,13.01,87.72
85,13,13.01,87.72
84,13,13.01,87.68
83,13,13.01,87.68
82,13,13.01,87.64
81,13,13.01,87.64
80,13,13.01,87.6
79,13,13.01,87.6
78,13,13.01,87.56
77,13,13.01,87.56
76,13,13.01,87.52
75,13,13.01,87.52
74,13,13.01,87.48
73,13,13.01,87.48
72,13,13.01,87.44
71,13,13.01,87.44
70,13,13.01,87.4
69,13,13.01,87.4
68,13,13.01,87.36
67,13,13.01,87.36
66,13,13.02,87.32
65,13,13.02,87.32
64,13,13.02,87.28
63,13,13.02,87.28
62,13,13.02,87.24
61,13,13.02,87.24
60,13,13.02,87.2
59,13,13.02,87.2
58,13,13.02,87.16
57,13,13.02,87.16
56,13,13.02,87.12
55,13,13.02,87.12
54,13,13.02,87.08
53,13,13.02,87.08
52,13,13.02,87.04
51,13,13.02,87.04
100,14,14.01,87.0
99,14,14.01,87.0
98,14,14.01,86.96
97,14,14.01,86.96
96,14,14.01,86.92
95,14,14.01,86.92
94,14,14.01,86.88
93,14,14.01,86.88
92,14,14.01,86.84
91,14,14.01,86.84
90,14,14.01,86.8
89,14,14.01,86.8
88,14,14.01,86.76
87,14,14.01,86.76
86,14,14.01,86.72
85,14,14.01,86.72
84,14,14.01,86.68
83,14,14.01,86.68
82,14,14.01,86.64
81,14,14.01,86.64
80,14,14.01,86.6
79,14,14.01,86.6
78,14,14.01,86.56
77,14,14.01,86.56
76,14,14.01,86.52
75,14,14.01,86.52
74,14,14.01,86.48
73,14,14.01,86.48
72,14,14.01,86.44
71,14,14.01,86.44
70,14,14.01,86.4
69,14,14.01,86.4
68,14,14.01,86.36
67,14,14.01,86.36
66,14,14.02,86.32
65,14,14.02,86.32
64,14,14.02,86.28
63,14,14.02,86.28
62,14,14.02,86.24
61,14,14.02,86.24
60,14,14.02,86.2
59,14,14.02,86.2
58,14,14.02,86.16
57,14,14.02,86.16
56,14,14.02,86.12
55,14,14.02,86.12
54,14,14.02,86.08
53,14,14.02,86.08
52,14,14.02,86.04
51,14,14.02,86.04
100,15,15.01,86.0
99,15,15.01,86.0
98,15,15.01,85.96
97,15,15.01,85.96
96,15,15.01,85.92
95,15,15.01,85.92
94,15,15.01,85.88
93,15,15.01,85.88
92,15,15.01,85.84
91,15,15.01,85.84
90,15,15.01,85.8
89,15,15.01,85.8
88,15,15.01,85.76
87,15,15.01,85.76
86,15,15.01,85.72
85,15,15.01,85.72
84,15,15.01,85.68
83,15,15.01,85.68
82,15,15.01,85.64
81,15,15.01,85.64
80,15,15.01,85.6
79,15,15.01,85.6
78,15,15.01,85.56
77,15,15.01,85.56
76,15,15.01,85.52
75,15,15.01,85.52
74,15,15.01,85.48
73,15,15.01,85.48
72,15,15.01,85.44
71,15,15.01,85.44
70,15,15.01,85.4
69,15,15.01,85.4
68,15,15.01,85.36
67,15,15.01,85.36
66,15,15.02,85.32
65,15,15.02,85.32
64,15,15.02,85.28
63,15,15.02,85.28
62,15,15.02,85.24
61,15,15.02,85.24
60,15,15.02,85.2
59,15,15.02,85.2
58,15,15.02,85.16
57,15,15.02,85.16
56,15,15.02,85.12
55,15,15.02,85.12
54,15,15.02,85.08
53,15,15.02,85.08
52,15,15.02,85.04
51,15,15.02,85.04
100,16,16.01,85.0
99,16,16.01,85.0
98,16,16.01,84.96
97,16,16.01,84.96
96,16,16.01,84.92
95,16,16.01,84.92
94,16,16.01,84.88
93,16,16.01,84.88
92,16,16.01,84.84
91,16,16.01,84.84
90,16,16.01,84.8
89,16,16.01,84.8
88,16,16.01,84.76
87,16,16.01,84.76
86,16,16.01,84.72
85,16,16.01,84.72
84,16,16.01,84.68
83,16,16.01,84.68
82,16,16.01,84.64
81,16,16.01,84.64
80,16,16.01,84.6
79,16,16.01,84.6
78,16,16.01,84.56
77,16,16.01,84.56
76,16,16.01,84.52
75,16,16.01,84.52
74,16,16.01,84.48
73,16,16.01,84.48
72,16,16.01,84.44
71,16,16.01,84.44
70,16,16.01,84.4
69,16,16.01,84.4
68,16,16.01,84.36
67,16,16.01,84.36
66,16,16.02,84.32
65,16,16.02,84.32
64,16,16.02,84.28
63,16,16.02,84.28
62,16,16.02,84.24
61,16,16.02,84.24
60,16,16.02,84.2
59,16,16.02,84.2
58,16,16.02,84.16
57,16,16.02,84.16
56,16,16.02,84.12
55,16,16.02,84.12
54,16,16.02,84.08
53,16,16.02,84.08
52,16,16.02,84.04
51,16,16.02,84.04
100,17,17.01,84.0
99,17,17.01,84.0
98,17,17.01,83.96
97,17,17.01,83.96
96,17,17.01,83.92
95,17,17.01,83.92
94,17,17.01,83.88
93,17,17.01,83.88
92,17,17.01,83.84
91,17,17.01,83.84
90,17,17.01,83.8
89,17,17.01,83.8
88,17,17.01,83.76
87,17,17.01,83.76
86,17,17.01,83.72
85,17,17.01,83.72
84,17,17.01,83.68
83,17,17.01,83.68
82,17,17.01,83.64
81,17,17.01,83.64
80,17,17.01,83.6
79,17,17.01,83.6
78,17,17.01,83.56
77,17,17.01,83.56
76,17,17.01,83.52
75,17,17.01,83.52
74,17,17.01,83.48
73,17,17.01,83.48
72,17,17.01,83.44
71,17,17.01,83.44
70,17,17.01,83.4
69,17,17.01,83.4
68,17,17.01,83.36
67,17,17.01,83.36
66,17,17.02,83.32
65,17,17.02,83.32
64,17,17.02,83.28
63,17,17.02,83.28
62,17,17.02,83.24
61,17,17.02,83.24
60,17,17.02,83.2
59,17,17.02,83.2
58,17,17.02,83.16
57,17,17.02,83.16
56,17,17.02,83.12
55,17,17.02,83.12
54,17,17.02,83.08
53,17,17.02,83.08
52,17,17.02,83.04
51,17,17.02,83.04
100,18,18.01,83.0
99,18,18.01,83.0
98,18,18.01,82.96
97,18,18.01,82.96
96,18,18.01,82.92
95,18,18.01,82.92
94,18,18.01,82.88
93,18,18.01,82.88
92,18,18.01,82.84
91,18,18.01,82.84
90,18,18.01,82.8
89,18,18.01,82.8
88,18,18.01,82.76
87,18,18.01,82.76
86,18,18.01,82.72
85,18,18.01,82.72
84,18,18.01,82.68
83,18,18.01,82.68
82,18,18.01,82.64
81,18,18.01,82.64
80,18,18.01,82.6
79,18,18.01,82.6
78,18,18.01,82.56
77,18,18.01,82.56
76,18,18.01,82.52
75,18,18.01,82.52
74,18,18.01,82.48
73,18,18.01,82.48
72,18,18.01,82.44
71,18,18.01,82.44
70,18,18.01,82.4
69,18,18.01,82.4
68,18,18.01,82.36
67,18,18.01,82.36
66,18,18.02,82.32
65,18,18.02,82.32
64,18,18.02,82.28
63,18,18.02,82.28
62,18,18.02,82.24
61,18,18.02,82.24
60,18,18.02,82.2
59,18,18.02,82.2
58,18,18.02,82.16
57,18,18.02,82.16
56,18,18.02,82.12
55,18,18.02,82.12
54,18,18.02,82.08
53,18,18.02,82.08
52,18,18.02,82.04
51,18,18.02,82.04
100,19,19.01,82.0
99,19,19.01,82.0
98,19,19.01,81.96
97,19,19.01,81.96
96,19,19.01,81.92
95,19,19.01,81.92
94,19,19.01,81.88
93,19,19.01,81.88
92,19,19.01,81.84
91,19,19.01,81.84
90,19,19.01,81.8
89,19,19.01,81.8
88,19,19.01,81.76
87,19,19.01,81.76
86,19,19.01,81.72
85,19,19.01,81.72
84,19,19.01,81.68
83,19,19.01,81.68
82,19,19.01,81.64
81,19,19.01,81.64
80,19,19.01,81.6
79,19,19.01,81.6
78,19,19.01,81.56
77,19,19.01,81.56
76,19,19.01,81.52
75,19,19.01,81.52
74,19,19.01,81.48
73,19,19.01,81.48
72,19,19.01,81.44
71,19,19.01,81.44
70,19,19.01,81.4
69,19,19.01,81.4
68,19,19.01,81.36
67,19,19.01,81.36
66,19,19.02,81.32
65,19,19.02,81.32
64,19,19.02,81.28
63,19,19.02,81.28
62,19,19.02,81.24
61,19,19.02,81.24
60,19,19.02,81.2
59,19,19.02,81.2
58,19,19.02,81.16
57,19,19.02,81.16
56,19,19.02,81.12
55,19,19.02,81.12
54,19,19.02,81.08
53,19,19.02,81.08
52,19,19.02,81.04
51,19,19.02,81.04
100,20,20.01,81.0
99,20,20.01,81.0
98,20,20.01,80.96
97,20,20.01,80.96
96,20,20.01,80.92
95,20,20.01,80.92
94,20,20.01,80.88
93,20,20.01,80.88
92,20,20.01,80.84
91,20,20.01,80.84
90,20,20.01,80.8
89,20,20.01,80.8
88,20,20.01,80.76
87,20,20.01,80.76
86,20,20.01,80.72
85,20,20.01,80.72
84,20,20.01,80.68
83,20,20.01,80.68
82,20,20.01,80.64
81,20,20.01,80.64
80,20,20.01,80.6
79,20,20.01,80.6
78,20,20.01,80.56
77,20,20.01,80.56
76,20,20.01,80.52
75,20,20.01,80.52
74,20,20.01,80.48
73,20,20.01,80.48
72,20,20.01,80.44
71,20,20.01,80.44
70,20,20.01,80.4
69,20,20.01,80.4
68,20,20.01,80.36
67,20,20.01,80.36
66,20,20.02,80.32
65,20,20.02,80.32
64,20,20.02,80.28
63,20,20.02,80.28
62,20,20.02,80.24
61,20,20.02,80.24
60,20,20.02,80.2
59,20,20.02,80.2
58,20,20.02,80.16
57,20,20.02,80.16
56,20,20.02,80.12
55,20,20.02,80.12
54,20,20.02,80.08
53,20,20.02,80.08
52,20,20.02,80.04
51,20,20.02,80.04
100,21,21.01,80.0
99,21,21.01,80.0
98,21,21.01,79.96
97,21,21.01,79.96
96,21,21.01,79.92
95,21,21.01,79.92
94,21,21.01,79.88
93,21,21.01,79.88
92,21,21.01,79.84
91,21,21.01,79.84
90,21,21.01,79.8
89,21,21.01,79.8
88,21,21.01,79.76
87,21,21.01,79.76
86,21,21.01,79.72
85,21,21.01,79.72
84,21,21.01,79.68
83,21,21.01,79.68
82,21,21.01,79.64
81,21,21.01,79.64
80,21,21.01,79.6
79,21,21.01,79.6
78,21,21.01,79.56
77,21,21.01,79.56
76,21,21.01,79.52
75,21,21.01,79.52
74,21,21.01,79.48
73,21,21.01,79.48
72,21,21.01,79.44
71,21,21.01,79.44
70,21,21.01,79.4
69,21,21.01,79.4
68,21,21.01,79.36
67,21,21.01,79.36
66,21,21.02,79.32
65,21,21.02,79.32
64,21,21.02,79.28
63,21,21.02,79.28
62,21,21.02,79.24
61,21,21.02,79.24
60,21,21.02,79.2
59,21,21.02,79.2
58,21,21.02,79.16
57,21,21.02,79.16
56,21,21.02,79.12
55,21,21.02,79.12
54,21,21.02,79.08
53,21,21.02,79.08
52,21,21.02,79.04
51,21,21.02,79.04
100,22,22.01,79.0
99,22,22.01,79.0
98,22,22.01,78.96
97,22,22.01,78.96
96,22,22.01,78.92
95,22,22.01,78.92
94,22,22.01,78.88
93,22,22.01,78.88
92,22,22.01,78.84
91,22,22.01,78.84
90,22,22.01,78.8
89,22,22.01,78.8
88,22,22.01,78.76
87,22,22.01,78.76
86,22,22.01,78.72
85,22,22.01,78.72
84,22,22.01,78.68
83,22,22.01,78.68
82,22,22.01,78.64
81,22,22.01,78.64
80,22,22.01,78.6
79,22,22.01,78.6
78,22,22.01,78.56
77,22,22.01,78.56
76,22,22.01,78.52
75,22,22.01,78.52
74,22,22.01,78.48
73,22,22.01,78.48
72,22,22.01,78.44
71,22,22.01,78.44
70,22,22.01,78.4
69,22,22.01,78.4
68,22,22.01,78.36
67,22,22.01,78.36
66,22,22.02,78.32
65,22,22.02,78.32
64,22,22.02,78.28
63,22,22.02,78.28
62,22,22.02,78.24
61,22,22.02,78.24
60,22,22.02,78.2
59,22,22.02,78.2
58,22,22.02,78.16
57,22,22.02,78.16
56,22,22.02,78.12
55,22,22.02,78.12
54,22,22.02,78.08
53,22,22.02,78.08
52,22,22.02,78.04
51,22,22.02,78.04
100,23,23.01,78.0
99,23,23.01,78.0
98,23,23.01,77.96
97,23,23.01,77.96
96,23,23.01,77.92
95,23,23.01,77.92
94,23,23.01,77.88
93,23,23.01,77.88
92,23,23.01,77.84
91,23,23.01,77.84
90,23,23.01,77.8
89,23,23.01,77.8
88,23,23.01,77.76
87,23,23.01,77.76
86,23,23.01,77.72
85,23,23.01,77.72
84,23,23.01,77.68
83,23,23.01,77.68
82,23,23.01,77.64
81,23,23.01,77.64
80,23,23.01,77.6
79,23,23.01,77.6
78,23,23.01,77.56
77,23,23.01,77.56
76,23,23.01,77.52
75,23,23.01,77.52
74,23,23.01,77.48
73,23,23.01,77.48
72,23,23.01,77.44
71,23,23.01,77.44
70,23,23.01,77.4
69,23,23.01,77.4
68,23,23.01,77.36
67,23,23.01,77.36
66,23,23.02,77.32
65,23,23.02,77.32
64,23,23.02,77.28
63,23,23.02,77.28
62,23,23.02,77.24
61,23,23.02,77.24
60,23,23.02,77.2
59,23,23.02,77.2
58,23,23.02,77.16
57,23,23.02,77.16
56,23,23.02,77.12
55,23,23.02,77.12
54,23,23.02,77.08
53,23,23.02,77.08
52,23,23.02,77.04
51,23,23.02,77.04
100,24,24.01,77.0
99,24,24.01,77.0
98,24,24.01,76.96
97,24,24.01,76.96
96,24,24.01,76.92
95,24,24.01,76.92
94,24,24.01,76.88
93,24,24.01,76.88
92,24,24.01,76.84
91,24,24.01,76.84
90,24,24.01,76.8
89,24,24.01,76.8
88,24,24.01,76.76
