Bandwidth,Delay,Score,Additional Value
23,75,75.04,26.16
22,75,75.05,26.16
21,75,75.05,26.04
20,75,75.05,26.04
19,75,75.05,26.04
18,75,75.06,25.92
17,75,75.06,25.92
16,75,75.06,25.92
15,75,75.07,25.8
14,75,75.07,25.8
13,75,75.08,25.8
12,75,75.08,25.68
11,75,75.09,25.68
10,75,75.1,25.68
9,75,75.11,25.56
8,75,75.12,25.56
7,75,75.14,25.56
6,75,75.17,25.44
5,75,75.2,25.44
4,75,75.25,25.44
3,75,75.33,25.32
2,75,75.5,25.32
1,75,76.0,25.32
24,76,76.04,25.2
23,76,76.04,25.2
22,76,76.05,25.2
21,76,76.05,25.08
20,76,76.05,25.08
19,76,76.05,25.08
18,76,76.06,24.96
17,76,76.06,24.96
16,76,76.06,24.96
15,76,76.07,24.84
14,76,76.07,24.84
13,76,76.08,24.84
12,76,76.08,24.72
11,76,76.09,24.72
10,76,76.1,24.72
9,76,76.11,24.6
8,76,76.12,24.6
7,76,76.14,24.6
6,76,76.17,24.48
5,76,76.2,24.48
4,76,76.25,24.48
3,76,76.33,24.36
2,76,76.5,24.36
1,76,77.0,24.36
24,77,77.04,24.24
23,77,77.04,24.24
22,77,77.05,24.24
21,77,77.05,24.12
20,77,77.05,24.12
19,77,77.05,24.12
18,77,77.06,24.0
17,77,77.06,24.0
16,77,77.06,24.0
15,77,77.07,23.88
14,77,77.07,23.88
13,77,77.08,23.88
12,77,77.08,23.76
11,77,77.09,23.76
10,77,77.1,23.76
9,77,77.11,23.64
8,77,77.12,23.64
7,77,77.14,23.64
6,77,77.17,23.52
5,77,77.2,23.52
4,77,77.25,23.52
3,77,77.33,23.4
2,77,77.5,23.4
1,77,78.0,23.4
24,78,78.04,23.28
23,78,78.04,23.28
22,78,78.05,23.28
21,78,78.05,23.16
20,78,78.05,23.16
19,78,78.05,23.16
18,78,78.06,23.04
17,78,78.06,23.04
16,78,78.06,23.04
15,78,78.07,22.92
14,78,78.07,22.92
13,78,78.08,22.92
12,78,78.08,22.8
11,78,78.09,22.8
10,78,78.1,22.8
9,78,78.11,22.68
8,78,78.12,22.68
7,78,78.14,22.68
6,78,78.17,22.56
5,78,78.2,22.56
4,78,78.25,22.56
3,78,78.33,22.44
2,78,78.5,22.44
1,78,79.0,22.44
24,79,79.04,22.32
23,79,79.04,22.32
22,79,79.05,22.32
21,79,79.05,22.2
20,79,79.05,22.2
19,79,79.05,22.2
18,79,79.06,22.08
17,79,79.06,22.08
16,79,79.06,22.08
15,79,79.07,21.96
14,79,79.07,21.96
13,79,79.08,21.96
12,79,79.08,21.84
11,79,79.09,21.84
10,79,79.1,21.84
9,79,79.11,21.72
8,79,79.12,21.72
7,79,79.14,21.72
6,79,79.17,21.6
5,79,79.2,21.6
4,79,79.25,21.6
3,79,79.33,21.48
2,79,79.5,21.48
1,79,80.0,21.48
24,80,80.04,21.36
23,80,80.04,21.36
22,80,80.05,21.36
21,80,80.05,21.24
20,80,80.05,21.24
19,80,80.05,21.24
18,80,80.06,21.12
17,80,80.06,21.12
16,80,80.06,21.12
15,80,80.07,21.0
14,80,80.07,21.0
13,80,80.08,21.0
12,80,80.08,20.88
11,80,80.09,20.88
10,80,80.1,20.88
9,80,80.11,20.76
8,80,80.12,20.76
7,80,80.14,20.76
6,80,80.17,20.64
5,80,80.2,20.64
4,80,80.25,20.64
3,80,80.33,20.52
2,80,80.5,20.52
1,80,81.0,20.52
24,81,81.04,20.4
23,81,81.04,20.4
22,81,81.05,20.4
21,81,81.05,20.28
20,81,81.05,20.28
19,81,81.05,20.28
18,81,81.06,20.16
17,81,81.06,20.16
16,81,81.06,20.16
15,81,81.07,20.04
14,81,81.07,20.04
13,81,81.08,20.04
12,81,81.08,19.92
11,81,81.09,19.92
10,81,81.1,19.92
9,81,81.11,19.8
8,81,81.12,19.8
7,81,81.14,19.8
6,81,81.17,19.68
5,81,81.2,19.68
4,81,81.25,19.68
3,81,81.33,19.56
2,81,81.5,19.56
1,81,82.0,19.56
24,82,82.04,19.44
23,82,82.04,19.44
22,82,82.05,19.44
21,82,82.05,19.32
20,82,82.05,19.32
19,82,82.05,19.32
18,82,82.06,19.2
17,82,82.06,19.2
16,82,82.06,19.2
15,82,82.07,19.08
14,82,82.07,19.08
13,82,82.08,19.08
12,82,82.08,18.96
11,82,82.09,18.96
10,82,82.1,18.96
9,82,82.11,18.84
8,82,82.12,18.84
7,82,82.14,18.84
6,82,82.17,18.72
5,82,82.2,18.72
4,82,82.25,18.72
3,82,82.33,18.6
2,82,82.5,18.6
1,82,83.0,18.6
24,83,83.04,18.48
23,83,83.04,18.48
22,83,83.05,18.48
21,83,83.05,18.36
20,83,83.05,18.36
19,83,83.05,18.36
18,83,83.06,18.24
17,83,83.06,18.24
16,83,83.06,18.24
15,83,83.07,18.12
14,83,83.07,18.12
13,83,83.08,18.12
12,83,83.08,18.0
11,83,83.09,18.0
10,83,83.1,18.0
9,83,83.11,17.88
8,83,83.12,17.88
7,83,83.14,17.88
6,83,83.17,17.76
5,83,83.2,17.76
4,83,83.25,17.76
3,83,83.33,17.64
2,83,83.5,17.64
1,83,84.0,17.64
24,84,84.04,17.52
23,84,84.04,17.52
22,84,84.05,17.52
21,84,84.05,17.4
20,84,84.05,17.4
19,84,84.05,17.4
18,84,84.06,17.28
17,84,84.06,17.28
16,84,84.06,17.28
15,84,84.07,17.16
14,84,84.07,17.16
13,84,84.08,17.16
12,84,84.08,17.04
11,84,84.09,17.04
10,84,84.1,17.04
9,84,84.11,16.92
8,84,84.12,16.92
7,84,84.14,16.92
6,84,84.17,16.8
5,84,84.2,16.8
4,84,84.25,16.8
3,84,84.33,16.68
2,84,84.5,16.68
1,84,85.0,16.68
24,85,85.04,16.56
23,85,85.04,16.56
22,85,85.05,16.56
21,85,85.05,16.44
20,85,85.05,16.44
19,85,85.05,16.44
18,85,85.06,16.32
17,85,85.06,16.32
16,85,85.06,16.32
15,85,85.07,16.2
14,85,85.07,16.2
13,85,85.08,16.2
12,85,85.08,16.08
11,85,85.09,16.08
10,85,85.1,16.08
9,85,85.11,15.96
8,85,85.12,15.96
7,85,85.14,15.96
6,85,85.17,15.84
5,85,85.2,15.84
4,85,85.25,15.84
3,85,85.33,15.72
2,85,85.5,15.72
1,85,86.0,15.72
24,86,86.04,15.6
23,86,86.04,15.6
22,86,86.05,15.6
21,86,86.05,15.48
20,86,86.05,15.48
19,86,86.05,15.48
18,86,86.06,15.36
17,86,86.06,15.36
16,86,86.06,15.36
15,86,86.07,15.24
14,86,86.07,15.24
13,86,86.08,15.24
12,86,86.08,15.12
11,86,86.09,15.12
10,86,86.1,15.12
9,86,86.11,15.0
8,86,86.12,15.0
7,86,86.14,15.0
6,86,86.17,14.88
5,86,86.2,14.88
4,86,86.25,14.88
3,86,86.33,14.76
2,86,86.5,14.76
1,86,87.0,14.76
24,87,87.04,14.64
23,87,87.04,14.64
22,87,87.05,14.64
21,87,87.05,14.52
20,87,87.05,14.52
19,87,87.05,14.52
18,87,87.06,14.4
17,87,87.06,14.4
16,87,87.06,14.4
15,87,87.07,14.28
14,87,87.07,14.28
13,87,87.08,14.28
12,87,87.08,14.16
11,87,87.09,14.16
10,87,87.1,14.16
9,87,87.11,14.04
8,87,87.12,14.04
7,87,87.14,14.04
6,87,87.17,13.92
5,87,87.2,13.92
4,87,87.25,13.92
3,87,87.33,13.8
2,87,87.5,13.8
1,87,88.0,13.8
24,88,88.04,13.68
23,88,88.04,13.68
22,88,88.05,13.68
21,88,88.05,13.56
20,88,88.05,13.56
19,88,88.05,13.56
18,88,88.06,13.44
17,88,88.06,13.44
16,88,88.06,13.44
15,88,88.07,13.32
14,88,88.07,13.32
13,88,88.08,13.32
12,88,88.08,13.2
11,88,88.09,13.2
10,88,88.1,13.2
9,88,88.11,13.08
8,88,88.12,13.08
7,88,88.14,13.08
6,88,88.17,12.96
5,88,88.2,12.96
4,88,88.25,12.96
3,88,88.33,12.84
2,88,88.5,12.84
1,88,89.0,12.84
24,89,89.04,12.72
23,89,89.04,12.72
22,89,89.05,12.72
21,89,89.05,12.6
20,89,89.05,12.6
19,89,89.05,12.6
18,89,89.06,12.48
17,89,89.06,12.48
16,89,89.06,12.48
15,89,89.07,12.36
14,89,89.07,12.36
13,89,89.08,12.36
12,89,89.08,12.24
11,89,89.09,12.24
10,89,89.1,12.24
9,89,89.11,12.12
8,89,89.12,12.12
7,89,89.14,12.12
6,89,89.17,12.0
5,89,89.2,12.0
4,89,89.25,12.0
3,89,89.33,11.88
2,89,89.5,11.88
1,89,90.0,11.88
24,90,90.04,11.76
23,90,90.04,11.76
22,90,90.05,11.76
21,90,90.05,11.64
20,90,90.05,11.64
19,90,90.05,11.64
18,90,90.06,11.52
17,90,90.06,11.52
16,90,90.06,11.52
15,90,90.07,11.4
14,90,90.07,11.4
13,90,90.08,11.4
12,90,90.08,11.28
11,90,90.09,11.28
10,90,90.1,11.28
9,90,90.11,11.16
8,90,90.12,11.16
7,90,90.14,11.16
6,90,90.17,11.04
5,90,90.2,11.04
4,90,90.25,11.04
3,90,90.33,10.92
2,90,90.5,10.92
1,90,91.0,10.92
24,91,91.04,10.8
23,91,91.04,10.8
22,91,91.05,10.8
21,91,91.05,10.68
20,91,91.05,10.68
19,91,91.05,10.68
18,91,91.06,10.56
17,91,91.06,10.56
16,91,91.06,10.56
15,91,91.07,10.44
14,91,91.07,10.44
13,91,91.08,10.44
12,91,91.08,10.32
11,91,91.09,10.32
10,91,91.1,10.32
9,91,91.11,10.2
8,91,91.12,10.2
7,91,91.14,10.2
6,91,91.17,10.08
5,91,91.2,10.08
4,91,91.25,10.08
3,91,91.33,9.96
2,91,91.5,9.96
1,91,92.0,9.96
24,92,92.04,9.84
23,92,92.04,9.84
22,92,92.05,9.84
21,92,92.05,9.72
20,92,92.05,9.72
19,92,92.05,9.72
18,92,92.06,9.6
17,92,92.06,9.6
16,92,92.06,9.6
15,92,92.07,9.48
14,92,92.07,9.48
13,92,92.08,9.48
12,92,92.08,9.36
11,92,92.09,9.36
10,92,92.1,9.36
9,92,92.11,9.24
8,92,92.12,9.24
7,92,92.14,9.24
6,92,92.17,9.12
5,92,92.2,9.12
4,92,92.25,9.12
3,92,92.33,9.0
2,92,92.5,9.0
1,92,93.0,9.0
24,93,93.04,8.88
23,93,93.04,8.88
22,93,93.05,8.88
21,93,93.05,8.76
20,93,93.05,8.76
19,93,93.05,8.76
18,93,93.06,8.64
17,93,93.06,8.64
16,93,93.06,8.64
15,93,93.07,8.52
14,93,93.07,8.52
13,93,93.08,8.52
12,93,93.08,8.4
11,93,93.09,8.4
10,93,93.1,8.4
9,93,93.11,8.28
8,93,93.12,8.28
7,93,93.14,8.28
6,93,93.17,8.16
5,93,93.2,8.16
4,93,93.25,8.16
3,93,93.33,8.04
2,93,93.5,8.04
1,93,94.0,8.04
24,94,94.04,7.92
23,94,94.04,7.92
22,94,94.05,7.92
21,94,94.05,7.8
20,94,94.05,7.8
19,94,94.05,7.8
18,94,94.06,7.68
17,94,94.06,7.68
16,94,94.06,7.68
15,94,94.07,7.56
14,94,94.07,7.56
13,94,94.08,7.56
12,94,94.08,7.44
11,94,94.09,7.44
10,94,94.1,7.44
9,94,94.11,7.32
8,94,94.12,7.32
7,94,94.14,7.32
6,94,94.17,7.2
5,94,94.2,7.2
4,94,94.25,7.2
3,94,94.33,7.08
2,94,94.5,7.08
1,94,95.0,7.08
24,95,95.04,6.96
23,95,95.04,6.96
22,95,95.05,6.96
21,95,95.05,6.84
20,95,95.05,6.84
19,95,95.05,6.84
18,95,95.06,6.72
17,95,95.06,6.72
16,95,95.06,6.72
15,95,95.07,6.6
14,95,95.07,6.6
13,95,95.08,6.6
12,95,95.08,6.48
11,95,95.09,6.48
10,95,95.1,6.48
9,95,95.11,6.36
8,95,95.12,6.36
7,95,95.14,6.36
6,95,95.17,6.24
5,95,95.2,6.24
4,95,95.25,6.24
3,95,95.33,6.12
2,95,95.5,6.12
1,95,96.0,6.12
24,96,96.04,6.0
23,96,96.04,6.0
22,96,96.05,6.0
21,96,96.05,5.88
20,96,96.05,5.88
19,96,96.05,5.88
18,96,96.06,5.76
17,96,96.06,5.76
16,96,96.06,5.76
15,96,96.07,5.64
14,96,96.07,5.64
13,96,96.08,5.64
12,96,96.08,5.52
11,96,96.09,5.52
10,96,96.1,5.52
9,96,96.11,5.4
8,96,96.12,5.4
7,96,96.14,5.4
6,96,96.17,5.28
5,96,96.2,5.28
4,96,96.25,5.28
3,96,96.33,5.16
2,96,96.5,5.16
1,96,97.0,5.16
24,97,97.04,5.04
23,97,97.04,5.04
22,97,97.05,5.04
21,97,97.05,4.92
20,97,97.05,4.92
19,97,97.05,4.92
18,97,97.06,4.8
17,97,97.06,4.8
16,97,97.06,4.8
15,97,97.07,4.68
14,97,97.07,4.68
13,97,97.08,4.68
12,97,97.08,4.56
11,97,97.09,4.56
10,97,97.1,4.56
9,97,97.11,4.44
8,97,97.12,4.44
7,97,97.14,4.44
6,97,97.17,4.32
5,97,97.2,4.32
4,97,97.25,4.32
3,97,97.33,4.2
2,97,97.5,4.2
1,97,98.0,4.2
24,98,98.04,4.08
23,98,98.04,4.08
22,98,98.05,4.08
21,98,98.05,3.96
20,98,98.05,3.96
19,98,98.05,3.96
18,98,98.06,3.84
17,98,98.06,3.84
16,98,98.06,3.84
15,98,98.07,3.72
14,98,98.07,3.72
13,98,98.08,3.72
12,98,98.08,3.6
11,98,98.09,3.6
10,98,98.1,3.6
9,98,98.11,3.48
8,98,98.12,3.48
7,98,98.14,3.48
6,98,98.17,3.36
5,98,98.2,3.36
4,98,98.25,3.36
3,98,98.33,3.24
2,98,98.5,3.24
1,98,99.0,3.24
24,99,99.04,3.12
23,99,99.04,3.12
22,99,99.05,3.12
21,99,99.05,3.0
20,99,99.05,3.0
19,99,99.05,3.0
18,99,99.06,2.88
17,99,99.06,2.88
16,99,99.06,2.88
15,99,99.07,2.76
14,99,99.07,2.76
13,99,99.08,2.76
12,99,99.08,2.64
11,99,99.09,2.64
10,99,99.1,2.64
9,99,99.11,2.52
8,99,99.12,2.52
7,99,99.14,2.52
6,99,99.17,2.4
5,99,99.2,2.4
4,99,99.25,2.4
3,99,99.33,2.28
2,99,99.5,2.28
1,99,100.0,2.28
24,100,100.04,2.16
23,100,100.04,2.16
22,100,100.05,2.16
21,100,100.05,2.04
20,100,100.05,2.04
19,100,100.05,2.04
18,100,100.06,1.92
17,100,100.06,1.92
16,100,100.06,1.92
15,100,100.07,1.8
14,100,100.07,1.8
13,100,100.08,1.8
12,100,100.08,1.68
11,100,100.09,1.68
10,100,100.1,1.68
9,100,100.11,1.56
8,100,100.12,1.56
7,100,100.14,1.56
6,100,100.17,1.44
5,100,100.2,1.44
4,100,100.25,1.44
3,100,100.33,1.36
2,100,100.5,1.32
1,100,101.0,1.0
100,1,1.01,100.0
99,1,1.01,99.8
98,1,1.01,99.96
97,1,1.01,99.96
96,1,1.01,99.92
95,1,1.01,99.92
94,1,1.01,99.88
93,1,1.01,99.88
92,1,1.01,99.84
91,1,1.01,99.84
90,1,1.01,99.8
89,1,1.01,99.8
88,1,1.01,99.76
87,1,1.01,99.76
86,1,1.01,99.72
85,1,1.01,99.72
84,1,1.01,99.68
83,1,1.01,99.68
82,1,1.01,99.64
81,1,1.01,99.64
80,1,1.01,99.6
79,1,1.01,99.6
78,1,1.01,99.56
77,1,1.01,99.56
76,1,1.01,99.52
75,1,1.01,99.52
74,1,1.01,99.48
73,1,1.01,99.48
72,1,1.01,99.44
71,1,1.01,99.44
70,1,1.01,99.4
69,1,1.01,99.4
68,1,1.01,99.36
67,1,1.01,99.36
66,1,1.02,99.32
65,1,1.02,99.32
64,1,1.02,99.28
63,1,1.02,99.28
62,1,1.02,99.24
61,1,1.02,99.24
60,1,1.02,99.2
59,1,1.02,99.2
58,1,1.02,99.16
57,1,1.02,99.16
56,1,1.02,99.12
55,1,1.02,99.12
54,1,1.02,99.08
53,1,1.02,99.08
52,1,1.02,99.04
51,1,1.02,99.04
100,2,2.01,99.0
99,2,2.01,99.0
98,2,2.01,98.96
97,2,2.01,98.96
96,2,2.01,98.92
95,2,2.01,98.92
94,2,2.01,98.88
93,2,2.01,98.88
92,2,2.01,98.84
91,2,2.01,98.84
90,2,2.01,98.8
89,2,2.01,98.8
88,2,2.01,98.76
87,2,2.01,98.76
86,2,2.01,98.72
85,2,2.01,98.72
84,2,2.01,98.68
83,2,2.01,98.68
82,2,2.01,98.64
81,2,2.01,98.64
80,2,2.01,98.6
79,2,2.01,98.6
78,2,2.01,98.56
77,2,2.01,98.56
76,2,2.01,98.52
75,2,2.01,98.52
74,2,2.01,98.48
73,2,2.01,98.48
72,2,2.01,98.44
71,2,2.01,98.44
70,2,2.01,98.4
69,2,2.01,98.4
68,2,2.01,98.36
67,2,2.01,98.36
66,2,2.02,98.32
65,2,2.02,98.32
64,2,2.02,98.28
63,2,2.02,98.28
62,2,2.02,98.24
61,2,2.02,98.24
60,2,2.02,98.2
59,2,2.02,98.2
58,2,2.02,98.16
57,2,2.02,98.16
56,2,2.02,98.12
55,2,2.02,98.12
54,2,2.02,98.08
53,2,2.02,98.08
52,2,2.02,98.04
51,2,2.02,98.04
100,3,3.01,98.0
99,3,3.01,98.0
98,3,3.01,97.96
97,3,3.01,97.96
96,3,3.01,97.92
95,3,3.01,97.92
94,3,3.01,97.88
93,3,3.01,97.88
92,3,3.01,97.84
91,3,3.01,97.84
90,3,3.01,97.8
89,3,3.01,97.8
88,3,3.01,97.76
87,3,3.01,97.76
86,3,3.01,97.72
85,3,3.01,97.72
84,3,3.01,97.68
83,3,3.01,97.68
82,3,3.01,97.64
81,3,3.01,97.64
80,3,3.01,97.6
79,3,3.01,97.6
78,3,3.01,97.56
77,3,3.01,97.56
76,3,3.01,97.52
75,3,3.01,97.52
74,3,3.01,97.48
73,3,3.01,97.48
72,3,3.01,97.44
71,3,3.01,97.44
70,3,3.01,97.4
69,3,3.01,97.4
68,3,3.01,97.36
67,3,3.01,97.36
66,3,3.02,97.32
65,3,3.02,97.32
64,3,3.02,97.28
63,3,3.02,97.28
62,3,3.02,97.24
61,3,3.02,97.24
60,3,3.02,97.2
59,3,3.02,97.2
58,3,3.02,97.16
57,3,3.02,97.16
56,3,3.02,97.12
55,3,3.02,97.12
54,3,3.02,97.08
53,3,3.02,97.08
52,3,3.02,97.04
51,3,3.02,97.04
100,4,4.01,97.0
99,4,4.01,97.0
98,4,4.01,96.96
97,4,4.01,96.96
96,4,4.01,96.92
95,4,4.01,96.92
94,4,4.01,96.88
93,4,4.01,96.88
92,4,4.01,96.84
91,4,4.01,96.84
90,4,4.01,96.8
89,4,4.01,96.8
88,4,4.01,96.76
87,4,4.01,96.76
86,4,4.01,96.72
85,4,4.01,96.72
84,4,4.01,96.68
83,4,4.01,96.68
82,4,4.01,96.64
81,4,4.01,96.64
80,4,4.01,96.6
79,4,4.01,96.6
78,4,4.01,96.56
77,4,4.01,96.56
76,4,4.01,96.52
75,4,4.01,96.52
74,4,4.01,96.48
73,4,4.01,96.48
72,4,4.01,96.44
71,4,4.01,96.44
70,4,4.01,96.4
69,4,4.01,96.4
68,4,4.01,96.36
67,4,4.01,96.36
66,4,4.02,96.32
65,4,4.02,96.32
64,4,4.02,96.28
63,4,4.02,96.28
62,4,4.02,96.24
61,4,4.02,96.24
60,4,4.02,96.2
59,4,4.02,96.2
58,4,4.02,96.16
57,4,4.02,96.16
56,4,4.02,96.12
55,4,4.02,96.12
54,4,4.02,96.08
53,4,4.02,96.08
52,4,4.02,96.04
51,4,4.02,96.04
100,5,5.01,96.0
99,5,5.01,96.0
98,5,5.01,95.96
97,5,5.01,95.96
96,5,5.01,95.92
95,5,5.01,95.92
94,5,5.01,95.88
93,5,5.01,95.88
92,5,5.01,95.84
91,5,5.01,95.84
90,5,5.01,95.8
89,5,5.01,95.8
88,5,5.01,95.76
87,5,5.01,95.76
86,5,5.01,95.72
85,5,5.01,95.72
84,5,5.01,95.68
83,5,5.01,95.68
82,5,5.01,95.64
81,5,5.01,95.64
80,5,5.01,95.6
79,5,5.01,95.6
78,5,5.01,95.56
77,5,5.01,95.56
76,5,5.01,95.52
75,5,5.01,95.52
74,5,5.01,95.48
73,5,5.01,95.48
72,5,5.01,95.44
71,5,5.01,95.44
70,5,5.01,95.4
69,5,5.01,95.4
68,5,5.01,95.36
67,5,5.01,95.36
66,5,5.02,95.32
65,5,5.02,95.32
64,5,5.02,95.28
63,5,5.02,95.28
62,5,5.02,95.24
61,5,5.02,95.24
60,5,5.02,95.2
59,5,5.02,95.2
58,5,5.02,95.16
57,5,5.02,95.16
56,5,5.02,95.12
55,5,5.02,95.12
54,5,5.02,95.08
53,5,5.02,95.08
52,5,5.02,95.04
51,5,5.02,95.04
100,6,6.01,95.0
99,6,6.01,95.0
98,6,6.01,94.96
97,6,6.01,94.96
96,6,6.01,94.92
95,6,6.01,94.92
94,6,6.01,94.88
93,6,6.01,94.88
92,6,6.01,94.84
91,6,6.01,94.84
90,6,6.01,94.8
89,6,6.01,94.8
88,6,6.01,94.76
87,6,6.01,94.76
86,6,6.01,94.72
85,6,6.01,94.72
84,6,6.01,94.68
83,6,6.01,94.68
82,6,6.01,94.64
81,6,6.01,94.64
80,6,6.01,94.6
79,6,6.01,94.6
78,6,6.01,94.56
77,6,6.01,94.56
76,6,6.01,94.52
75,6,6.01,94.52
74,6,6.01,94.48
73,6,6.01,94.48
72,6,6.01,94.44
71,6,6.01,94.44
70,6,6.01,94.4
69,6,6.01,94.4
68,6,6.01,94.36
67,6,6.01,94.36
66,6,6.02,94.32
65,6,6.02,94.32
64,6,6.02,94.28
63,6,6.02,94.28
62,6,6.02,94.24
61,6,6.02,94.24
60,6,6.02,94.2
59,6,6.02,94.2
58,6,6.02,94.16
57,6,6.02,94.16
56,6,6.02,94.12
55,6,6.02,94.12
54,6,6.02,94.08
53,6,6.02,94.08
52,6,6.02,94.04
51,6,6.02,94.04
100,7,7.01,94.0
99,7,7.01,94.0
98,7,7.01,93.96
97,7,7.01,93.96
96,7,7.01,93.92
95,7,7.01,93.92
94,7,7.01,93.88
93,7,7.01,93.88
92,7,7.01,93.84
91,7,7.01,93.84
90,7,7.01,93.8
89,7,7.01,93.8
88,7,7.01,93.76
87,7,7.01,93.76
86,7,7.01,93.72
85,7,7.01,93.72
84,7,7.01,93.68
83,7,7.01,93.68
82,7,7.01,93.64
81,7,7.01,93.64
80,7,7.01,93.6
79,7,7.01,93.6
78,7,7.01,93.56
77,7,7.01,93.56
76,7,7.01,93.52
75,7,7.01,93.52
74,7,7.01,93.48
73,7,7.01,93.48
72,7,7.01,93.44
71,7,7.01,93.44
70,7,7.01,93.4
69,7,7.01,93.4
68,7,7.01,93.36
67,7,7.01,93.36
66,7,7.02,93.32
65,7,7.02,93.32
64,7,7.02,93.28
63,7,7.02,93.28
62,7,7.02,93.24
61,7,7.02,93.24
60,7,7.02,93.2
59,7,7.02,93.2
58,7,7.02,93.16
57,7,7.02,93.16
56,7,7.02,93.12
55,7,7.02,93.12
54,7,7.02,93.08
53,7,7.02,93.08
52,7,7.02,93.04
51,7,7.02,93.04
100,8,8.01,93.0
99,8,8.01,93.0
98,8,8.01,92.96
97,8,8.01,92.96
96,8,8.01,92.92
95,8,8.01,92.92
94,8,8.01,92.88
93,8,8.01,92.88
92,8,8.01,92.84
91,8,8.01,92.84
90,8,8.01,92.8
89,8,8.01,92.8
88,8,8.01,92.76
87,8,8.01,92.76
86,8,8.01,92.72
85,8,8.01,92.72
84,8,8.01,92.68
83,8,8.01,92.68
82,8,8.01,92.64
81,8,8.01,92.64
80,8,8.01,92.6
79,8,8.01,92.6
78,8,8.01,92.56
77,8,8.01,92.56
76,8,8.01,92.52
75,8,8.01,92.52
74,8,8.01,92.48
73,8,8.01,92.48
72,8,8.01,92.44
71,8,8.01,92.44
70,8,8.01,92.4
69,8,8.01,92.4
68,8,8.01,92.36
67,8,8.01,92.36
66,8,8.02,92.32
65,8,8.02,92.32
64,8,8.02,92.28
63,8,8.02,92.28
62,8,8.02,92.24
61,8,8.02,92.24
60,8,8.02,92.2
59,8,8.02,92.2
58,8,8.02,92.16
57,8,8.02,92.16
56,8,8.02,92.12
55,8,8.02,92.12
54,8,8.02,92.08
53,8,8.02,92.08
52,8,8.02,92.04
51,8,8.02,92.04
100,9,9.01,92.0
99,9,9.01,92.0
98,9,9.01,91.96
97,9,9.01,91.96
96,9,9.01,91.92
95,9,9.01,91.92
94,9,9.01,91.88
93,9,9.01,91.88
92,9,9.01,91.84
91,9,9.01,91.84
90,9,9.01,91.8
89,9,9.01,91.8
88,9,9.01,91.76
87,9,9.01,91.76
86,9,9.01,91.72
85,9,9.01,91.72
84,9,9.01,91.68
83,9,9.01,91.68
82,9,9.01,91.64
81,9,9.01,91.64
80,9,9.01,91.6
79,9,9.01,91.6
78,9,9.01,91.56
77,9,9.01,91.56
76,9,9.01,91.52
75,9,9.01,91.52
74,9,9.01,91.48
73,9,9.01,91.48
72,9,9.01,91.44
71,9,9.01,91.44
70,9,9.01,91.4
69,9,9.01,91.4
68,9,9.01,91.36
67,9,9.01,91.36
66,9,9.02,91.32
65,9,9.02,91.32
64,9,9.02,91.28
63,9,9.02,91.28
62,9,9.02,91.24
61,9,9.02,91.24
60,9,9.02,91.2
59,9,9.02,91.2
58,9,9.02,91.16
